schema_version	profile	phase	size_bytes	schedule_cycle	ordinal	logical_request_id	attempt_id	activation_id	terminal_success	full_output_verified	activation_get_result_match	store_status	warm_eligible	analysis_selected	exclusion_reason	client_start_unix_ns	client_end_unix_ns	activation_get_unix_ns	db_start_unix_ns	db_finish_unix_ns	total_latency_ns	client_to_db_enter_ns	couchdb_save_ns	http_request_bytes	http_response_bytes	activation_get_response_bytes	application_input_bytes	application_input_sha256	application_output_bytes	application_output_sha256	profile_input_duration_ns	profile_workload_duration_ns	profile_output_duration_ns	profile_outer_duration_ns	shared_event_status	profile_timing_status	openwhisk_event_status	quality_complete	profile_event_codes	openwhisk_event_codes	container_hostname	worker_started_this_invocation	kms_contacted	enclave_key_cache_hit	function_cache_hit
e3-v2-asyncs-attempt-v1	asyncs	measured	4194304	3	21	21	1	1ffbbe1184774660bbbe118477b66048	true	true	true	put_acknowledged	true	true		1784861191535519503	1784861195527177385	1784861195837260580	1784861195246000128	1784861195390000128	3854480625	3710480625	144000000	5593660	5598825	5598932	4194304	87492d71e0e5ffa3a31731b0509a460c1341d04f0a07270608a4cef3e7af3047	4194304	87492d71e0e5ffa3a31731b0509a460c1341d04f0a07270608a4cef3e7af3047	3833034	139399405	2020272	253626987	complete	complete	complete	true	A400,A410,AF400,AF410,AI400,AI410,AI420,AI430,AO400,AO410,AO420,AO430	OW120,OW150,OW260,OW300,OW310,OW800	af251b89e0df	false	false	true	true
e3-v2-asyncs-attempt-v1	asyncs	measured	1024	4	22	22	1	f2ec44efe8c74e73ac44efe8c77e731d	true	true	true	put_acknowledged	true	true		1784861195935804742	1784861195987148473	1784861196000316854	1784861195976000000	1784861195991000064	55195322	40195258	15000064	2617	7706	7813	1024	5a34809ee11c086e125d8814803c15b09ed35ac681fa1fc0212e403a19515301	1024	5a34809ee11c086e125d8814803c15b09ed35ac681fa1fc0212e403a19515301	2348625	34874	231306	4608407	complete	complete	complete	true	A400,A410,AF400,AF410,AI400,AI410,AI420,AI430,AO400,AO410,AO420,AO430	OW120,OW150,OW260,OW300,OW310,OW800	af251b89e0df	false	false	true	true
e3-v2-asyncs-attempt-v1	asyncs	measured	4096	4	23	23	1	11e04baa2d1b407da04baa2d1bc07ddc	true	true	true	put_acknowledged	true	true		1784861196007884869	1784861196047520464	1784861196063139001	1784861196043000064	1784861196055000064	47115195	35115195	12000000	6713	11807	11914	4096	5a08c1d15524130e85bc5eadea5f46f686f4766201cacf1c0699a621bea8128b	4096	5a08c1d15524130e85bc5eadea5f46f686f4766201cacf1c0699a621bea8128b	2319404	134350	214750	4755257	complete	complete	complete	true	A400,A410,AF400,AF410,AI400,AI410,AI420,AI430,AO400,AO410,AO420,AO430	OW120,OW150,OW260,OW300,OW310,OW800	af251b89e0df	false	false	true	true
e3-v2-asyncs-attempt-v1	asyncs	measured	16384	4	24	24	1	dbd6361303184e3296361303183e32c4	true	true	true	put_acknowledged	true	true		1784861196066857153	1784861196123051309	1784861196135774231	1784861196104999936	1784861196116000000	49142847	38142783	11000064	23098	28202	28309	16384	88d019d4d22a86c40fdea9b2488b739b9878e15350df7b2c47be3a03d1eea8db	16384	88d019d4d22a86c40fdea9b2488b739b9878e15350df7b2c47be3a03d1eea8db	2365133	560869	230802	5443852	complete	complete	complete	true	A400,A410,AF400,AF410,AI400,AI410,AI420,AI430,AO400,AO410,AO420,AO430	OW120,OW150,OW260,OW300,OW310,OW800	af251b89e0df	false	false	true	true
e3-v2-asyncs-attempt-v1	asyncs	measured	65536	4	25	25	1	33a39e0dddd0431aa39e0dddd0d31ad6	true	true	true	put_acknowledged	true	true		1784861196140241925	1784861196242431270	1784861196263681924	1784861196232000000	1784861196244999936	104758011	91758075	12999936	88634	93748	93855	65536	8ec8c863b2578784b3fc488f560037299179a01f25d8f611c3ed97671a055e83	65536	8ec8c863b2578784b3fc488f560037299179a01f25d8f611c3ed97671a055e83	2322778	2168794	252035	8639978	complete	complete	complete	true	A400,A410,AF400,AF410,AI400,AI410,AI420,AI430,AO400,AO410,AO420,AO430	OW120,OW150,OW260,OW300,OW310,OW800	af251b89e0df	false	false	true	true
e3-v2-asyncs-attempt-v1	asyncs	measured	262144	4	26	26	1	91ff1d7813014b23bf1d7813018b23fa	true	true	true	put_acknowledged	true	true		1784861196270201930	1784861196604486704	1784861196631488157	1784861196575000064	1784861196605999872	335797942	304798134	30999808	350779	355917	356024	262144	ca8f70315cf0740a924eae1b531711c9df9ca3d127e4db9471df261015b3facb	262144	ca8f70315cf0740a924eae1b531711c9df9ca3d127e4db9471df261015b3facb	4238669	9575780	502918	25597674	complete	complete	complete	true	A400,A410,AF400,AF410,AI400,AI410,AI420,AI430,AO400,AO410,AO420,AO430	OW120,OW150,OW260,OW300,OW310,OW800	af251b89e0df	false	false	true	true
e3-v2-asyncs-attempt-v1	asyncs	measured	1048576	4	27	27	1	12e07a1642ee419ca07a1642ee319c5e	true	true	true	put_acknowledged	true	true		1784861196651048325	1784861197634694370	1784861197731707017	1784861197564999936	1784861197604999936	953951611	913951611	40000000	1399356	1404505	1404612	1048576	9c5cf60a38878d9f81cc281e3cdb909dd5dbd7ea7a137ea589a1533176ec8ee4	1048576	9c5cf60a38878d9f81cc281e3cdb909dd5dbd7ea7a137ea589a1533176ec8ee4	2658517	34646664	679716	66795746	complete	complete	complete	true	A400,A410,AF400,AF410,AI400,AI410,AI420,AI430,AO400,AO410,AO420,AO430	OW120,OW150,OW260,OW300,OW310,OW800	af251b89e0df	false	false	true	true
e3-v2-asyncs-attempt-v1	asyncs	measured	4194304	4	28	28	1	0de8b86611b74009a8b86611b740091d	true	true	true	put_acknowledged	true	true		1784861197805020262	1784861201650224554	1784861201935688000	1784861201380000000	1784861201522000128	3716979866	3574979738	142000128	5593660	5598825	5598932	4194304	87492d71e0e5ffa3a31731b0509a460c1341d04f0a07270608a4cef3e7af3047	4194304	87492d71e0e5ffa3a31731b0509a460c1341d04f0a07270608a4cef3e7af3047	3896606	142182823	2016450	256214492	complete	complete	complete	true	A400,A410,AF400,AF410,AI400,AI410,AI420,AI430,AO400,AO410,AO420,AO430	OW120,OW150,OW260,OW300,OW310,OW800	af251b89e0df	false	false	true	true
e3-v2-asyncs-attempt-v1	asyncs	measured	1024	5	29	29	1	b353251939f54fbe93251939f56fbecf	true	true	true	put_acknowledged	true	true		1784861202011302929	1784861202055821684	1784861202074337488	1784861202061000192	1784861202068999936	57697007	49697263	7999744	2617	7706	7813	1024	5a34809ee11c086e125d8814803c15b09ed35ac681fa1fc0212e403a19515301	1024	5a34809ee11c086e125d8814803c15b09ed35ac681fa1fc0212e403a19515301	2352790	35704	229199	4700951	complete	complete	complete	true	A400,A410,AF400,AF410,AI400,AI410,AI420,AI430,AO400,AO410,AO420,AO430	OW120,OW150,OW260,OW300,OW310,OW800	af251b89e0df	false	false	true	true
e3-v2-asyncs-attempt-v1	asyncs	measured	4096	5	30	30	1	dee0201c76214f07a0201c76218f07ee	true	true	true	put_acknowledged	true	true		1784861202079846800	1784861202127831790	1784861202142526342	1784861202109999872	1784861202120999936	41153136	30153072	11000064	6713	11807	11914	4096	5a08c1d15524130e85bc5eadea5f46f686f4766201cacf1c0699a621bea8128b	4096	5a08c1d15524130e85bc5eadea5f46f686f4766201cacf1c0699a621bea8128b	2364245	142913	222043	4803977	complete	complete	complete	true	A400,A410,AF400,AF410,AI400,AI410,AI420,AI430,AO400,AO410,AO420,AO430	OW120,OW150,OW260,OW300,OW310,OW800	af251b89e0df	false	false	true	true
