profile	artifact_size_bytes	fresh_group	lifecycle	warm_followup_index	logical_request_id	activation_id	action_fqen	action_revision	action_identity_sha256	terminal_success	activation_get_status	store_evidence_status	expected_rid	actual_rid	rid_status	decrypt_status	workload_status	request_payload_bytes	request_payload_sha256	payload_evidence_status	container_hostname	worker_started_this_invocation	kms_contacted	enclave_key_cache_hit	function_cache_hit	cfunc_decrypt_executed	fresh_placement_eligible	warm_reuse_eligible	analysis_eligible	quality_reason	measurement_sequence	client_start_unix_ns	client_end_unix_ns	client_elapsed_ms	activation_duration_ms	c_req_bytes	c_key_bytes	c_out_bytes	ct_bytes	worker_keypath_dur_ns	worker_wait_kms_dur_ns	kms_verify_dur_ns	kms_key_release_dur_ns	kms_total_dur_ns	quote_gen_dur_ns	worker_exec_dur_ns	worker_invoke_dur_ns	adapter_invoke_dur_ns	function_key_decap_cycles	cfunc_aes_gcm_cycles	wasm_load_cycles	wasm_instantiate_cycles	input_key_decap_cycles	input_aes_gcm_cycles	workload_core_cycles	output_kem_cycles	output_aes_gcm_cycles	function_key_decap_duration_ns	cfunc_aes_gcm_duration_ns	wasm_load_duration_ns	wasm_instantiate_duration_ns	input_key_decap_duration_ns	input_aes_gcm_duration_ns	workload_core_duration_ns	output_kem_duration_ns	output_aes_gcm_duration_ns	tsc_hz	tsc_frequency_method
asyncs	262144	1	warm_followup	4	s262144-g001-warm04	98c7376770a44eae87376770a4eeae8e	/guest/c2_asyncs_sleep50_r340_s262144_g001	0.0.1@1784515962155	72c100aa121b662e8bca5fddc89bf8ca27742904bb27145579619e1be02eb682	true	200	present	abbf7a9892cf8b7003b2828e13941425b13beaa7df515dcdd8db602d9104fb9c	abbf7a9892cf8b7003b2828e13941425b13beaa7df515dcdd8db602d9104fb9c	match	ok	match	1024	34b059c2ead4f813a03fde62d32a81cd42dc6c6a8dbf9325c00af66eff16e38d	match	02f682d5a567	false	false	true	true	false	false	true	true	ok	11	1784516010039534079	1784516010120454098	80.920079	61	1052	263	573	65	219	0	0	0	0	0	55338654	55479682	56064938	0	0	3503348	238848	6660720	4181	135214519	587465	6314	0	0	1297592	88466	2467040	1548	50081630	217589	2338	2699882526	calibrated_monotonic_raw_20ms
asyncs	262144	1	warm_followup	5	s262144-g001-warm05	5e48035014ba493388035014ba093399	/guest/c2_asyncs_sleep50_r340_s262144_g001	0.0.1@1784515962155	72c100aa121b662e8bca5fddc89bf8ca27742904bb27145579619e1be02eb682	true	200	present	aa28eb250b02150481478af5e9a027259970d742c1e4a5c5957a148a88aa79f7	aa28eb250b02150481478af5e9a027259970d742c1e4a5c5957a148a88aa79f7	match	ok	match	1024	34b059c2ead4f813a03fde62d32a81cd42dc6c6a8dbf9325c00af66eff16e38d	match	02f682d5a567	false	false	true	true	false	false	true	true	ok	12	1784516010390131064	1784516010468304406	78.173316	61	1052	263	573	65	201	0	0	0	0	0	54896113	55028056	55583395	0	0	3458320	251464	6442214	4760	135217612	620109	5869	0	0	1280914	93138	2386109	1763	50082776	229679	2173	2699882526	calibrated_monotonic_raw_20ms
asyncs	1048576	1	fresh_first_use	0	s1048576-g001-fresh	630555d41c0045f18555d41c00a5f1d9	/guest/c2_asyncs_sleep50_r340_s1048576_g001	0.0.1@1784515968653	aa14c75fd86ce652f3f5fc5a6d1dfd0ec18edfc5c27cfa3c7929f0efc84b9e9c	true	200	present	8e4a78fc663765af9d4684f6d6a817e43f3f24bfe27571a900f13483a4dcc552	8e4a78fc663765af9d4684f6d6a817e43f3f24bfe27571a900f13483a4dcc552	match	ok	match	1024	34b059c2ead4f813a03fde62d32a81cd42dc6c6a8dbf9325c00af66eff16e38d	match	33a0e43b9714	false	true	false	false	true	true	false	true	ok	13	1784516010741770156	1784516012890214158	2148.444701	1512	1052	263	573	65	1303816668	32251511	29058928	2247114	31306443	1271536018	72002443	1376547423	1381798228	12467327	1843486	6702203	488027	15677413	10353	135417517	997155	8820	4617657	682791	2482366	180755	5806611	3834	50156039	369327	3266	2699924418	calibrated_monotonic_raw_20ms
asyncs	1048576	1	warm_followup	1	s1048576-g001-warm01	360312d268d4403e8312d268d4d03eb4	/guest/c2_asyncs_sleep50_r340_s1048576_g001	0.0.1@1784515968653	aa14c75fd86ce652f3f5fc5a6d1dfd0ec18edfc5c27cfa3c7929f0efc84b9e9c	true	200	present	200dbd2892d2fd8429c3343a7c5c50d6419ceeb786b138907e2364a512a8a422	200dbd2892d2fd8429c3343a7c5c50d6419ceeb786b138907e2364a512a8a422	match	ok	match	1024	34b059c2ead4f813a03fde62d32a81cd42dc6c6a8dbf9325c00af66eff16e38d	match	33a0e43b9714	false	false	true	true	false	false	true	true	ok	14	1784516013167979889	1784516013277266130	109.286538	77	1052	263	573	65	298	0	0	0	0	0	61528401	62343594	67014112	0	0	5994555	381080	11664104	5794	135254260	1034549	14145	0	0	2220267	141144	4320159	2145	50095572	383177	5239	2699924418	calibrated_monotonic_raw_20ms
asyncs	1048576	1	warm_followup	2	s1048576-g001-warm02	c888a117af7f451c88a117af7ff51c7b	/guest/c2_asyncs_sleep50_r340_s1048576_g001	0.0.1@1784515968653	aa14c75fd86ce652f3f5fc5a6d1dfd0ec18edfc5c27cfa3c7929f0efc84b9e9c	true	200	present	69df060e0026bd1c2fa6e315ec314edb722a8c065bead5d728fc69e1d30abeca	69df060e0026bd1c2fa6e315ec314edb722a8c065bead5d728fc69e1d30abeca	match	ok	match	1024	34b059c2ead4f813a03fde62d32a81cd42dc6c6a8dbf9325c00af66eff16e38d	match	33a0e43b9714	false	false	true	true	false	false	true	true	ok	15	1784516013293643041	1784516013386637465	92.987214	65	1052	263	573	65	288	0	0	0	0	0	56832571	57170236	57762799	0	0	3527535	275583	6404626	3383	135226398	593137	7338	0	0	1306531	102070	2372150	1252	50085253	219686	2717	2699924418	calibrated_monotonic_raw_20ms
asyncs	1048576	1	warm_followup	3	s1048576-g001-warm03	892ac697375b4c72aac697375bfc7265	/guest/c2_asyncs_sleep50_r340_s1048576_g001	0.0.1@1784515968653	aa14c75fd86ce652f3f5fc5a6d1dfd0ec18edfc5c27cfa3c7929f0efc84b9e9c	true	200	present	0345670020336014ef9ae657c4d231e9bbc888696fbb50e0128fa58843003604	0345670020336014ef9ae657c4d231e9bbc888696fbb50e0128fa58843003604	match	ok	match	1024	34b059c2ead4f813a03fde62d32a81cd42dc6c6a8dbf9325c00af66eff16e38d	match	33a0e43b9714	false	false	true	true	false	false	true	true	ok	16	1784516013662595504	1784516013751921785	89.326555	67	1052	263	573	65	296	0	0	0	0	0	56894056	57210576	57785734	0	0	3538826	277577	6551515	3305	135226093	625931	5698	0	0	1310712	102809	2426554	1224	50085140	231832	2110	2699924418	calibrated_monotonic_raw_20ms
asyncs	1048576	1	warm_followup	4	s1048576-g001-warm04	b8bc3b02122d4c80bc3b02122d9c8070	/guest/c2_asyncs_sleep50_r340_s1048576_g001	0.0.1@1784515968653	aa14c75fd86ce652f3f5fc5a6d1dfd0ec18edfc5c27cfa3c7929f0efc84b9e9c	true	200	present	92eb62a594b756e6c95d5b35249651bdc63207f2aa3f494bd1d64aea7ecf41d4	92eb62a594b756e6c95d5b35249651bdc63207f2aa3f494bd1d64aea7ecf41d4	match	ok	match	1024	34b059c2ead4f813a03fde62d32a81cd42dc6c6a8dbf9325c00af66eff16e38d	match	33a0e43b9714	false	false	true	true	false	false	true	true	ok	17	1784516014027457270	1784516014118774214	91.317737	64	1052	263	573	65	280	0	0	0	0	0	57262876	57621313	58226602	0	0	3663421	333223	6576107	3484	135219337	594661	5836	0	0	1356860	123419	2435663	1290	50082637	220250	2161	2699924418	calibrated_monotonic_raw_20ms
asyncs	1048576	1	warm_followup	5	s1048576-g001-warm05	ef64c80e673f4a0ea4c80e673f0a0e11	/guest/c2_asyncs_sleep50_r340_s1048576_g001	0.0.1@1784515968653	aa14c75fd86ce652f3f5fc5a6d1dfd0ec18edfc5c27cfa3c7929f0efc84b9e9c	true	200	present	47bcbe76a4d12ad03843a38f6d278b660576da79addcc510cf00536500610dc8	47bcbe76a4d12ad03843a38f6d278b660576da79addcc510cf00536500610dc8	match	ok	match	1024	34b059c2ead4f813a03fde62d32a81cd42dc6c6a8dbf9325c00af66eff16e38d	match	33a0e43b9714	false	false	true	true	false	false	true	true	ok	18	1784516014137970850	1784516014231199889	93.228621	68	1052	263	573	65	396	0	0	0	0	0	56906282	57241038	57852851	0	0	3499978	356028	6404871	3772	135240348	624268	9292	0	0	1296324	131865	2372240	1397	50090419	231216	3441	2699924418	calibrated_monotonic_raw_20ms
asyncs	4194304	1	fresh_first_use	0	s4194304-g001-fresh	7a207c39ccc644a2a07c39ccc6c4a29a	/guest/c2_asyncs_sleep50_r340_s4194304_g001	0.0.1@1784515978357	503b1d7c2627a0c12619c160e9ba6206443006f314a7d2b14f8d297a654d671f	true	200	present	7e6f4deb638f3cf4cfc32bd2b6784656a66c86134bfd307cd31d4eacc5cc5db2	7e6f4deb638f3cf4cfc32bd2b6784656a66c86134bfd307cd31d4eacc5cc5db2	match	ok	match	1024	34b059c2ead4f813a03fde62d32a81cd42dc6c6a8dbf9325c00af66eff16e38d	match	fbd4160a31ac	false	true	false	false	true	true	false	true	ok	19	1784516014502814798	1784516017051720759	2548.906174	1411	1052	263	573	65	1030531975	32422454	28466585	2340596	30807545	997862290	94549888	1127643211	1130276554	11910494	6934515	6568542	502317	15656131	9079	135386581	1058978	9486	4411453	2568431	2432881	186050	5798776	3362	50144990	392228	3513	2699902417	calibrated_monotonic_raw_20ms
asyncs	4194304	1	warm_followup	1	s4194304-g001-warm01	ead2b0f0708a470a92b0f0708a470ae3	/guest/c2_asyncs_sleep50_r340_s4194304_g001	0.0.1@1784515978357	503b1d7c2627a0c12619c160e9ba6206443006f314a7d2b14f8d297a654d671f	true	200	present	b2ac610519efc0bf8af84b6c39324abc02412ef52df8d6d95c92a59de41bb520	b2ac610519efc0bf8af84b6c39324abc02412ef52df8d6d95c92a59de41bb520	match	ok	match	1024	34b059c2ead4f813a03fde62d32a81cd42dc6c6a8dbf9325c00af66eff16e38d	match	fbd4160a31ac	false	false	true	true	false	false	true	true	ok	20	1784516017067528477	1784516017177187071	109.65868	87	1052	263	573	65	231	0	0	0	0	0	72827483	75556691	79622424	0	0	5478884	337390	11054597	5621	135251674	1048416	11662	0	0	2029289	124963	4094443	2081	50095023	388316	4319	2699902417	calibrated_monotonic_raw_20ms
asyncs	4194304	1	warm_followup	2	s4194304-g001-warm02	92bd420906be40e4bd420906be50e4b9	/guest/c2_asyncs_sleep50_r340_s4194304_g001	0.0.1@1784515978357	503b1d7c2627a0c12619c160e9ba6206443006f314a7d2b14f8d297a654d671f	true	200	present	807c29b9fcb4307dc062de609fa6317b44b8d4e02c333f48e86dc94bde91b581	807c29b9fcb4307dc062de609fa6317b44b8d4e02c333f48e86dc94bde91b581	match	ok	match	1024	34b059c2ead4f813a03fde62d32a81cd42dc6c6a8dbf9325c00af66eff16e38d	match	fbd4160a31ac	false	false	true	true	false	false	true	true	ok	21	1784516017454803549	1784516017561070103	106.265929	82	1052	263	573	65	223	0	0	0	0	0	73901037	74956267	75684727	0	0	6139640	346149	11813720	5763	135223800	581003	6947	0	0	2274022	128207	4375609	2134	50084699	215194	2573	2699902417	calibrated_monotonic_raw_20ms
asyncs	4194304	1	warm_followup	3	s4194304-g001-warm03	b706f4e0ff33445186f4e0ff33945196	/guest/c2_asyncs_sleep50_r340_s4194304_g001	0.0.1@1784515978357	503b1d7c2627a0c12619c160e9ba6206443006f314a7d2b14f8d297a654d671f	true	200	present	7d601a25f5c3a240b4dd77ec1eabec95be368bd66704da623061c33785ff38fd	7d601a25f5c3a240b4dd77ec1eabec95be368bd66704da623061c33785ff38fd	match	ok	match	1024	34b059c2ead4f813a03fde62d32a81cd42dc6c6a8dbf9325c00af66eff16e38d	match	fbd4160a31ac	false	false	true	true	false	false	true	true	ok	22	1784516017829704924	1784516017921039505	91.334449	72	1052	263	573	65	293	0	0	0	0	0	64417898	65301639	65898198	0	0	3559501	277305	6469917	3046	135218497	616118	7387	0	0	1318381	102709	2396352	1128	50082734	228200	2736	2699902417	calibrated_monotonic_raw_20ms
asyncs	4194304	1	warm_followup	4	s4194304-g001-warm04	9cbb2a49b335466dbb2a49b335766d7b	/guest/c2_asyncs_sleep50_r340_s4194304_g001	0.0.1@1784515978357	503b1d7c2627a0c12619c160e9ba6206443006f314a7d2b14f8d297a654d671f	true	200	present	0ecddff1d57a8324f905d6e923241efdc795bb18894780cf2c5dba8ce0e81212	0ecddff1d57a8324f905d6e923241efdc795bb18894780cf2c5dba8ce0e81212	match	ok	match	1024	34b059c2ead4f813a03fde62d32a81cd42dc6c6a8dbf9325c00af66eff16e38d	match	fbd4160a31ac	false	false	true	true	false	false	true	true	ok	23	1784516018193332006	1784516018293339459	100.007178	81	1052	263	573	65	175	0	0	0	0	0	73499870	74449878	75060774	0	0	4554807	279135	12073469	5495	135216819	584104	8022	0	0	1687026	103387	4471816	2035	50082113	216342	2971	2699902417	calibrated_monotonic_raw_20ms
asyncs	4194304	1	warm_followup	5	s4194304-g001-warm05	a1018a6664ab4a62818a6664ab5a624a	/guest/c2_asyncs_sleep50_r340_s4194304_g001	0.0.1@1784515978357	503b1d7c2627a0c12619c160e9ba6206443006f314a7d2b14f8d297a654d671f	true	200	present	448c06305004ed5a38737ac3d78f8b46f6aee9debba07f5e9b63bec97707ef90	448c06305004ed5a38737ac3d78f8b46f6aee9debba07f5e9b63bec97707ef90	match	ok	match	1024	34b059c2ead4f813a03fde62d32a81cd42dc6c6a8dbf9325c00af66eff16e38d	match	fbd4160a31ac	false	false	true	true	false	false	true	true	ok	24	1784516018308969849	1784516018395304936	86.334993	70	1052	263	573	65	283	0	0	0	0	0	64203190	65021836	65637340	0	0	3460883	313938	6460848	3562	135211473	579955	5862	0	0	1281854	116277	2392993	1319	50080133	214805	2171	2699902417	calibrated_monotonic_raw_20ms
asyncs	65536	2	fresh_first_use	0	s65536-g002-fresh	24dded8a96c240889ded8a96c2e088d4	/guest/c2_asyncs_sleep50_r340_s65536_g002	0.0.1@1784515954970	a9c99f2ad4f87bb8176650ec40b1a876704615a0d030ee8133fb2da4bf482610	true	200	present	b9d0984e6ffb3ba4eb6ccf2b331ad225e7fc2038deaf0d03eba3d64cc341ecda	b9d0984e6ffb3ba4eb6ccf2b331ad225e7fc2038deaf0d03eba3d64cc341ecda	match	ok	match	1024	34b059c2ead4f813a03fde62d32a81cd42dc6c6a8dbf9325c00af66eff16e38d	match	8045d041d776	false	true	false	false	true	true	false	true	ok	25	1784516018410352446	1784516019563719303	1153.367359	879	1052	263	573	65	772458339	31643695	27880367	2175086	30055830	740783987	65325773	838251911	846988514	11579676	141606	7540807	659015	16280370	6713	136724019	1058218	10672	4288916	52448	2792987	244088	6029973	2486	50640263	391946	3952	2699907335	calibrated_monotonic_raw_20ms
asyncs	65536	2	warm_followup	1	s65536-g002-warm01	3339013071c343f3b9013071c343f3f6	/guest/c2_asyncs_sleep50_r340_s65536_g002	0.0.1@1784515954970	a9c99f2ad4f87bb8176650ec40b1a876704615a0d030ee8133fb2da4bf482610	true	200	present	f2965b301c3d12a73312934ea548080eee893aab47953a62fc240a5a104e886d	f2965b301c3d12a73312934ea548080eee893aab47953a62fc240a5a104e886d	match	ok	match	1024	34b059c2ead4f813a03fde62d32a81cd42dc6c6a8dbf9325c00af66eff16e38d	match	8045d041d776	false	false	true	true	false	false	true	true	ok	26	1784516019835883234	1784516019923741503	87.858245	65	1052	263	573	65	281	0	0	0	0	0	57820814	57936771	58533416	0	0	6173752	316861	12494949	6819	135228651	607873	6648	0	0	2286653	117359	4627917	2525	50086404	225145	2462	2699907335	calibrated_monotonic_raw_20ms
asyncs	65536	2	warm_followup	2	s65536-g002-warm02	6f643393a51a4d5fa43393a51a9d5fe0	/guest/c2_asyncs_sleep50_r340_s65536_g002	0.0.1@1784515954970	a9c99f2ad4f87bb8176650ec40b1a876704615a0d030ee8133fb2da4bf482610	true	200	present	b8ebff2cdbb7bfffdab43f904ea50873722d97c06ac0d8ee86ab6b6cf187b970	b8ebff2cdbb7bfffdab43f904ea50873722d97c06ac0d8ee86ab6b6cf187b970	match	ok	match	1024	34b059c2ead4f813a03fde62d32a81cd42dc6c6a8dbf9325c00af66eff16e38d	match	8045d041d776	false	false	true	true	false	false	true	true	ok	27	1784516019932225359	1784516020016215779	83.9906	66	1052	263	573	65	223	0	0	0	0	0	54363323	54479862	59151808	0	0	3456619	253431	6441435	3527	135219522	557321	5314	0	0	1280273	93866	2385798	1306	50083023	206422	1968	2699907335	calibrated_monotonic_raw_20ms
asyncs	65536	2	warm_followup	3	s65536-g002-warm03	64f32b7af92845edb32b7af928f5ed1e	/guest/c2_asyncs_sleep50_r340_s65536_g002	0.0.1@1784515954970	a9c99f2ad4f87bb8176650ec40b1a876704615a0d030ee8133fb2da4bf482610	true	200	present	9e2c7ea55548c85ee4617c74f8a447ed5548667c03fcfaec04ee482699baf2f9	9e2c7ea55548c85ee4617c74f8a447ed5548667c03fcfaec04ee482699baf2f9	match	ok	match	1024	34b059c2ead4f813a03fde62d32a81cd42dc6c6a8dbf9325c00af66eff16e38d	match	8045d041d776	false	false	true	true	false	false	true	true	ok	28	1784516020286630378	1784516020368633503	82.00325	60	1052	263	573	65	182	0	0	0	0	0	54396253	54499080	55072648	0	0	3465135	244601	6469871	3394	135215226	564996	5432	0	0	1283427	90596	2396330	1257	50081432	209264	2011	2699907335	calibrated_monotonic_raw_20ms
