schema_version	experiment_id	profile	phase	workload_id	logical_request_id	attempt_id	activation_id	event_code	event_seq	clock_domain	timestamp_value	timestamp_unit	node	process	pid	status
c5-timing-event-v1	C5	asyncs	measured	dynamic-html-derived-v1	4	1	80a9ce93018644d1a9ce93018624d114	AO420	9	enclave_tsc_same_invocation	53459666900222	cycles		sgx_worker_enclave		observed
c5-timing-event-v1	C5	asyncs	measured	dynamic-html-derived-v1	4	1	80a9ce93018644d1a9ce93018624d114	AO430	10	enclave_tsc_same_invocation	53459666911678	cycles		sgx_worker_enclave		observed
c5-timing-event-v1	C5	asyncs	measured	dynamic-html-derived-v1	4	1	80a9ce93018644d1a9ce93018624d114	A400	400	monotonic_ns_same_process	19786854199761	ns		asyncs_worker		observed
c5-timing-event-v1	C5	asyncs	measured	dynamic-html-derived-v1	4	1	80a9ce93018644d1a9ce93018624d114	A410	410	monotonic_ns_same_process	19787187524960	ns		asyncs_worker		observed
c5-timing-event-v1	C5	asyncs	measured	dynamic-html-derived-v1	5	1	a766797e26d547aca6797e26d587ac23	AI400	1	enclave_tsc_same_invocation	53463277130033	cycles		sgx_worker_enclave		observed
c5-timing-event-v1	C5	asyncs	measured	dynamic-html-derived-v1	5	1	a766797e26d547aca6797e26d587ac23	AI410	2	enclave_tsc_same_invocation	53463344583670	cycles		sgx_worker_enclave		observed
c5-timing-event-v1	C5	asyncs	measured	dynamic-html-derived-v1	5	1	a766797e26d547aca6797e26d587ac23	AI420	3	enclave_tsc_same_invocation	53463412487314	cycles		sgx_worker_enclave		observed
c5-timing-event-v1	C5	asyncs	measured	dynamic-html-derived-v1	5	1	a766797e26d547aca6797e26d587ac23	AI430	4	enclave_tsc_same_invocation	53463412495133	cycles		sgx_worker_enclave		observed
c5-timing-event-v1	C5	asyncs	measured	dynamic-html-derived-v1	5	1	a766797e26d547aca6797e26d587ac23	AF400	5	enclave_tsc_same_invocation	53463499689002	cycles		sgx_worker_enclave		observed
c5-timing-event-v1	C5	asyncs	measured	dynamic-html-derived-v1	5	1	a766797e26d547aca6797e26d587ac23	AF410	6	enclave_tsc_same_invocation	53466300031950	cycles		sgx_worker_enclave		observed
c5-timing-event-v1	C5	asyncs	measured	dynamic-html-derived-v1	5	1	a766797e26d547aca6797e26d587ac23	AO400	7	enclave_tsc_same_invocation	53466302376785	cycles		sgx_worker_enclave		observed
c5-timing-event-v1	C5	asyncs	measured	dynamic-html-derived-v1	5	1	a766797e26d547aca6797e26d587ac23	AO410	8	enclave_tsc_same_invocation	53466303441452	cycles		sgx_worker_enclave		observed
c5-timing-event-v1	C5	asyncs	measured	dynamic-html-derived-v1	5	1	a766797e26d547aca6797e26d587ac23	AO420	9	enclave_tsc_same_invocation	53466303442679	cycles		sgx_worker_enclave		observed
c5-timing-event-v1	C5	asyncs	measured	dynamic-html-derived-v1	5	1	a766797e26d547aca6797e26d587ac23	AO430	10	enclave_tsc_same_invocation	53466303456158	cycles		sgx_worker_enclave		observed
c5-timing-event-v1	C5	asyncs	measured	dynamic-html-derived-v1	5	1	a766797e26d547aca6797e26d587ac23	A400	400	monotonic_ns_same_process	19787682387301	ns		asyncs_worker		observed
c5-timing-event-v1	C5	asyncs	measured	dynamic-html-derived-v1	5	1	a766797e26d547aca6797e26d587ac23	A410	410	monotonic_ns_same_process	19788808238377	ns		asyncs_worker		observed
c5-timing-event-v1	C5	asyncs	measured	dynamic-html-derived-v1	6	1	6773f74f16a64113b3f74f16a6211364	AI400	1	enclave_tsc_same_invocation	53459837271732	cycles		sgx_worker_enclave		observed
c5-timing-event-v1	C5	asyncs	measured	dynamic-html-derived-v1	6	1	6773f74f16a64113b3f74f16a6211364	AI410	2	enclave_tsc_same_invocation	53459843763575	cycles		sgx_worker_enclave		observed
