experiment_id	window_size	profile	phase	size_bytes	ordinal	logical_request_id	attempt_id	activation_id	client_start_unix_ns	client_end_unix_ns	http_status	http_request_bytes	http_response_bytes	terminal_status	terminal_success	blocking_result_sha256	activation_get_first_success_unix_ns	activation_get_response_bytes	activation_get_result_sha256	activation_get_result_match
C5	3	native	measured	1024	41	41	1	6ee16728db814b69a16728db813b69a7	1784742215659754179	1784742215704816004	200	1024	4702	success	true	2d2059ce9a23ba0151802022d7c5de6e7ee2938ea5ea52ca61dc1d704599f633	1784742215718776563	4702	2d2059ce9a23ba0151802022d7c5de6e7ee2938ea5ea52ca61dc1d704599f633	true
C5	3	native	measured	1024	42	42	1	49f32928a5604eaeb32928a560ceae8b	1784742215670257511	1784742215736343859	200	1024	4703	success	true	a62faa56c2bc67e88cef2fb9b0b83f5852e2f0683609564414bb51a2111e7815	1784742215757259691	4703	a62faa56c2bc67e88cef2fb9b0b83f5852e2f0683609564414bb51a2111e7815	true
C5	3	native	measured	1024	43	43	1	ee7f9c2cd7a644bdbf9c2cd7a684bd20	1784742215684959046	1784742215743964051	200	1024	4702	success	true	44a544d087dc2e06d891084c7d04d332f88f72a38cdbf3a8fa88d8512b4d1475	1784742215769454663	4702	44a544d087dc2e06d891084c7d04d332f88f72a38cdbf3a8fa88d8512b4d1475	true
C5	3	native	measured	1024	44	44	1	01a184e6d54c4dcea184e6d54cddceaf	1784742215719051632	1784742215786136358	200	1024	4702	success	true	8603a29987e8d03f13c4358eddfb5dfb99be00297e0575ce3fc9e62461c17c2c	1784742215818322693	4702	8603a29987e8d03f13c4358eddfb5dfb99be00297e0575ce3fc9e62461c17c2c	true
C5	3	native	measured	1024	45	45	1	cc30a9624f504a69b0a9624f50ba69b9	1784742215757567573	1784742215806170229	200	1024	4703	success	true	711212084991caa22f9e0381591891b65ed7da577d297f2958d4718f2a9dc2a1	1784742215842223184	4703	711212084991caa22f9e0381591891b65ed7da577d297f2958d4718f2a9dc2a1	true
C5	3	native	measured	1024	46	46	1	669a0523570b4fe09a0523570bffe01e	1784742215769694950	1784742215812938220	200	1024	4702	success	true	590a5dbc3de08a9690f4f721f2de9efc065c70887afda1d1f91171ec2cf584c2	1784742215834561880	4702	590a5dbc3de08a9690f4f721f2de9efc065c70887afda1d1f91171ec2cf584c2	true
C5	3	native	measured	1024	47	47	1	1b803c72926a4ee9803c72926a0ee95a	1784742215818627146	1784742215872940598	200	1024	4702	success	true	4b715df6fdcce4d2d4bbe172703a663f9149c375babd5a9e50e4dde9a02726d4	1784742215910665034	4702	4b715df6fdcce4d2d4bbe172703a663f9149c375babd5a9e50e4dde9a02726d4	true
C5	3	native	measured	1024	48	48	1	43bec13f92eb40ecbec13f92eb10ec92	1784742215834812338	1784742215884589492	200	1024	4702	success	true	f55cb94e095513586791b153c1f430efbbd7d485fcba0cf7fcb1bb21421b5326	1784742215897616090	4702	f55cb94e095513586791b153c1f430efbbd7d485fcba0cf7fcb1bb21421b5326	true
C5	3	native	measured	1024	49	49	1	88f09aa21ca34e93b09aa21ca3be93d1	1784742215842462263	1784742215888007215	200	1024	4702	success	true	1c07257b6e9a5c7c1c8982c1fed746ad10fe861b49c069b9cf523da5727a4e1c	1784742216118199691	4702	1c07257b6e9a5c7c1c8982c1fed746ad10fe861b49c069b9cf523da5727a4e1c	true
C5	3	native	measured	1024	50	50	1	e487fac9dc8f45cd87fac9dc8f35cdd5	1784742215897937520	1784742215938906235	200	1024	4702	success	true	697585918db870d59059f92556f545a6e80549ec5bd999929ee12249f1c8ddff	1784742215951131242	4702	697585918db870d59059f92556f545a6e80549ec5bd999929ee12249f1c8ddff	true
C5	3	native	measured	1024	51	51	1	323002d457d54762b002d457d547624b	1784742215910912372	1784742215973774021	200	1024	4702	success	true	b25368011aa7f44f30440f2d92c1f5a3aba0b4e84dfda6d2291eb7b8561eeee5	1784742215982104894	4702	b25368011aa7f44f30440f2d92c1f5a3aba0b4e84dfda6d2291eb7b8561eeee5	true
C5	3	native	measured	1024	52	52	1	943d71f9d7034e52bd71f9d7031e52f4	1784742215951408912	1784742215999847084	200	1024	4701	success	true	2227122664d369b75f61011530a5d16bd2f17c518bd8887bb60c2a4d82452466	1784742216012020039	4701	2227122664d369b75f61011530a5d16bd2f17c518bd8887bb60c2a4d82452466	true
C5	3	native	measured	1024	53	53	1	acf55e9e55fc4daeb55e9e55fc3dae88	1784742215982330125	1784742216032085625	200	1024	4702	success	true	e421a86f4a3da06b26a1a83394aa1785872d2e201217ff1feddf28314a98adf6	1784742216048734197	4702	e421a86f4a3da06b26a1a83394aa1785872d2e201217ff1feddf28314a98adf6	true
C5	3	native	measured	1024	54	54	1	8a1f104d345e441d9f104d345ee41d64	1784742216012219966	1784742216045771635	200	1024	4702	success	true	9340926c7483dc44e321bcf8317165248544a8de9df18ace2859af67719a80dc	1784742216063212987	4702	9340926c7483dc44e321bcf8317165248544a8de9df18ace2859af67719a80dc	true
C5	3	native	measured	1024	55	55	1	bfb2123a523143b7b2123a5231a3b7e6	1784742216049013789	1784742216086315527	200	1024	4701	success	true	f6b91a11d095c6b78bdbf755bbe5c5289531cd87e498b624bbecd6a4ff358785	1784742216100353416	4701	f6b91a11d095c6b78bdbf755bbe5c5289531cd87e498b624bbecd6a4ff358785	true
C5	3	native	measured	1024	56	56	1	d09e59d21ee341ca9e59d21ee3e1ca41	1784742216063457703	1784742216108371648	200	1024	4701	success	true	ebdb865b6132aab9111d61d46e6fd3067e1d88ddfa9a80139ed00adba6dd7472	1784742216139152041	4701	ebdb865b6132aab9111d61d46e6fd3067e1d88ddfa9a80139ed00adba6dd7472	true
C5	3	native	measured	1024	57	57	1	f67fd3f0cf324591bfd3f0cf325591ff	1784742216102877198	1784742216154903762	200	1024	4702	success	true	8e1c8c19c8bdb339293951829a7b64562325ced5a97d3a1ba8995b110afc6428	1784742216164692636	4702	8e1c8c19c8bdb339293951829a7b64562325ced5a97d3a1ba8995b110afc6428	true
C5	3	native	measured	1024	58	58	1	8e725abffe134e99b25abffe131e9919	1784742216118421864	1784742216187100546	200	1024	4702	success	true	eac5422d25252a96ebd37a8beaa70b9ef33f148de94ce3dbd243ab1a920ae0bf	1784742216210309157	4702	eac5422d25252a96ebd37a8beaa70b9ef33f148de94ce3dbd243ab1a920ae0bf	true
C5	3	native	measured	1024	59	59	1	7feb1b8c050349bcab1b8c0503f9bc3c	1784742216139357759	1784742216185394656	200	1024	4701	success	true	9f7d2565d9c900a22219c89f945914c9a35de81bcbf92acb5c9adf9aafe78991	1784742216198839677	4701	9f7d2565d9c900a22219c89f945914c9a35de81bcbf92acb5c9adf9aafe78991	true
C5	3	native	measured	1024	60	60	1	a62cb6569f924588acb6569f9285888f	1784742216165003157	1784742216232660105	200	1024	4702	success	true	b5abf8132764f8ee93d92f667c7ccb1054821d4fe81b93bc46a7c3efa15b89a1	1784742216249284843	4702	b5abf8132764f8ee93d92f667c7ccb1054821d4fe81b93bc46a7c3efa15b89a1	true
C5	3	native	measured	1024	61	61	1	9d69221f94e649b3a9221f94e619b34c	1784742216199091686	1784742216265799899	200	1024	4702	success	true	4db3f1b55378451f2ae7842f24eada6fd435d5eefb044a0dc7a5163a4ba44465	1784742216282424807	4702	4db3f1b55378451f2ae7842f24eada6fd435d5eefb044a0dc7a5163a4ba44465	true
C5	3	native	measured	1024	62	62	1	312f524b88454246af524b8845f2469f	1784742216210907709	1784742216262054817	200	1024	4702	success	true	0cac9d91194bf79e7ca3a7e2dd731e8648f8fb853729211ba5ce93016f845c88	1784742216279874285	4702	0cac9d91194bf79e7ca3a7e2dd731e8648f8fb853729211ba5ce93016f845c88	true
C5	3	native	measured	1024	63	63	1	73bc7c7f64be4490bc7c7f64bed49072	1784742216254813320	1784742216325105210	200	1024	4702	success	true	25f952049a46c7f6c078374929e28db7ad4ee6f371c4d8d2699de365fcfd78e7	1784742216357118409	4702	25f952049a46c7f6c078374929e28db7ad4ee6f371c4d8d2699de365fcfd78e7	true
C5	3	native	measured	1024	64	64	1	4d0a24413f6841b38a24413f6891b3ed	1784742216280159974	1784742216331506202	200	1024	4701	success	true	adeee732e35078565b4b8d6578a26d276c42eee561f8d4c38f87a24144e22ccb	1784742216576554469	4701	adeee732e35078565b4b8d6578a26d276c42eee561f8d4c38f87a24144e22ccb	true
