experiment_id	segment_id	phase	logical_request_id	attempt_id	activation_id
C5	compression-derived-random256k-level6-v1-measured	measured	198	1	eaed59c508eb4b24ad59c508eb9b2401
C5	compression-derived-random256k-level6-v1-measured	measured	199	1	6ee0277236154dd0a0277236152dd01d
C5	compression-derived-random256k-level6-v1-measured	measured	200	1	4eb27715f02d47f0b27715f02d87f004
C5	compression-derived-random256k-level6-v1-measured	measured	201	1	f68e67f4dca54cf58e67f4dca56cf52c
C5	compression-derived-random256k-level6-v1-measured	measured	202	1	eae7f652ceef4997a7f652ceef999766
C5	compression-derived-random256k-level6-v1-measured	measured	203	1	74b46ece896d4114b46ece896d211409
C5	compression-derived-random256k-level6-v1-measured	measured	204	1	1b8072ec7f18442c8072ec7f18442cb7
C5	compression-derived-random256k-level6-v1-measured	measured	205	1	0fd977cbfd7541209977cbfd751120f2
C5	compression-derived-random256k-level6-v1-measured	measured	206	1	b291b32784f4473391b32784f40733e2
C5	compression-derived-random256k-level6-v1-measured	measured	207	1	a502a258f9914bcc82a258f991cbccd3
C5	compression-derived-random256k-level6-v1-measured	measured	208	1	ad5e4dbcaf184f0f9e4dbcaf18bf0f89
C5	compression-derived-random256k-level6-v1-measured	measured	209	1	f64feb0db5d7469c8feb0db5d7669c89
C5	compression-derived-random256k-level6-v1-measured	measured	210	1	cc6a3be409624d1baa3be409627d1b6f
C5	compression-derived-random256k-level6-v1-measured	measured	211	1	5c79a80c127d40a5b9a80c127d10a527
C5	compression-derived-random256k-level6-v1-measured	measured	212	1	63c3db0b18cd4a4b83db0b18cd5a4bd7
C5	compression-derived-random256k-level6-v1-measured	measured	213	1	72951fa5dfd94c96951fa5dfd99c9698
C5	compression-derived-random256k-level6-v1-measured	measured	214	1	017ab0b8fc5a4a1ebab0b8fc5aca1e67
C5	compression-derived-random256k-level6-v1-measured	measured	215	1	b2ef5b49c0884d87af5b49c0888d878e
C5	compression-derived-random256k-level6-v1-measured	measured	216	1	6f3ab5b3d7434801bab5b3d74388015a
C5	compression-derived-random256k-level6-v1-measured	measured	217	1	51f2b723d1aa4adeb2b723d1aaaade5f
C5	compression-derived-random256k-level6-v1-measured	measured	218	1	b58fa4021ed34e168fa4021ed38e16f7
C5	compression-derived-random256k-level6-v1-measured	measured	219	1	3a0888f225124ac78888f22512fac7ce
C5	compression-derived-random256k-level6-v1-measured	measured	220	1	8ab3f3b990c9423fb3f3b990c9823f56
C5	compression-derived-random256k-level6-v1-measured	measured	221	1	2d15fa85c7d4401695fa85c7d46016fc
C5	compression-derived-random256k-level6-v1-measured	measured	222	1	2eb121956180429cb121956180729c3a
C5	compression-derived-random256k-level6-v1-measured	measured	223	1	7f37733e54e34fd8b7733e54e32fd896
C5	compression-derived-random256k-level6-v1-measured	measured	224	1	ddbc92e84d0d4ec9bc92e84d0d1ec957
C5	compression-derived-random256k-level6-v1-measured	measured	225	1	5d4c28c67c14446c8c28c67c14146c1f
C5	compression-derived-random256k-level6-v1-measured	measured	226	1	748d8b4fbed14cee8d8b4fbed12ceee2
C5	compression-derived-random256k-level6-v1-measured	measured	227	1	2fabe20e7f69478cabe20e7f69178ce3
C5	compression-derived-random256k-level6-v1-measured	measured	228	1	e80e364b3d1b42758e364b3d1b127515
C5	compression-derived-random256k-level6-v1-measured	measured	229	1	dbdbea48e0bf4b829bea48e0bfeb8213
C5	compression-derived-random256k-level6-v1-measured	measured	230	1	ab921729267349cf9217292673c9cf60
C5	compression-derived-random256k-level6-v1-measured	measured	231	1	1d2b4da4c5dd48b7ab4da4c5dd28b7b5
C5	compression-derived-random256k-level6-v1-measured	measured	232	1	9d88be616273451b88be616273a51b15
C5	compression-derived-random256k-level6-v1-measured	measured	233	1	741d0e3f130147ac9d0e3f1301a7ac96
C5	compression-derived-random256k-level6-v1-measured	measured	234	1	7bb888fbee3b46f6b888fbee3b36f649
C5	compression-derived-random256k-level6-v1-measured	measured	235	1	6aca2dfd9dfb44ea8a2dfd9dfb74ea8c
