schema_version	experiment_id	segment_id	phase	logical_request_id	attempt_id	activation_id	event_code	event_instance_index	primary_event	selection_status	unix_ns	mono_ns	clock_domain	node	process	pid	tid	status	boundary_name	delivery_path	transaction_id	source_path	source_line	source_sha256
native-openwhisk-timing-event-v1	C3	measured	measured	101	1	efe3504165d64ceaa3504165d6dceab2	OW120	1	true	primary	1784920724472000000	2414711694547	openwhisk_controller_jvm_mono	controller0	openwhisk_controller	1	8a84defb33b5c46f6fa4c08a14ee849e	observed_direct_marker	openwhisk_controller_invoke_enter		8a84defb33b5c46f6fa4c08a14ee849e	<collection-root>/experiments/collections/363_native-e3-v2-ascii-identity-seven-size/point/filtered-openwhisk/local-controller0.markers.log	201	58aaba9de4e4bbae4471dd75176cfd14310f20ccb87dca47f6ac23045511951a
native-openwhisk-timing-event-v1	C3	measured	measured	101	1	efe3504165d64ceaa3504165d6dceab2	OW150	1	true	primary	1784920724472000000	2414711787241	openwhisk_controller_jvm_mono	controller0	openwhisk_controller	1	8a84defb33b5c46f6fa4c08a14ee849e	observed_direct_marker	openwhisk_activation_id_created		8a84defb33b5c46f6fa4c08a14ee849e	<collection-root>/experiments/collections/363_native-e3-v2-ascii-identity-seven-size/point/filtered-openwhisk/local-controller0.markers.log	202	58aaba9de4e4bbae4471dd75176cfd14310f20ccb87dca47f6ac23045511951a
native-openwhisk-timing-event-v1	C3	measured	measured	101	1	efe3504165d64ceaa3504165d6dceab2	OW260	1	true	primary	1784920724475000000	2414714887521	openwhisk_scheduler_jvm_mono	scheduler0	openwhisk_scheduler	1	8a84defb33b5c46f6fa4c08a14ee849e	observed_direct_marker	openwhisk_activation_queue_enter	activation_queue_enter	8a84defb33b5c46f6fa4c08a14ee849e	<collection-root>/experiments/collections/363_native-e3-v2-ascii-identity-seven-size/point/filtered-openwhisk/local-scheduler0.markers.log	300	d1141decf3bfdb3f9fec87eff9e7cf02e547c57705df6f3c98311462e128a971
native-openwhisk-timing-event-v1	C3	measured	measured	101	1	efe3504165d64ceaa3504165d6dceab2	OW300	1	true	primary	1784920724475000000	2414715023274	openwhisk_scheduler_jvm_mono	scheduler0	openwhisk_scheduler	1	8a84defb33b5c46f6fa4c08a14ee849e	observed_direct_marker	openwhisk_scheduler_activation_dispatch_exit	waiting_request_success_response	8a84defb33b5c46f6fa4c08a14ee849e	<collection-root>/experiments/collections/363_native-e3-v2-ascii-identity-seven-size/point/filtered-openwhisk/local-scheduler0.markers.log	301	d1141decf3bfdb3f9fec87eff9e7cf02e547c57705df6f3c98311462e128a971
native-openwhisk-timing-event-v1	C3	measured	measured	101	1	efe3504165d64ceaa3504165d6dceab2	OW300	2	false	duplicate_dispatch_preserved	1784920724475000000	2414715066384	openwhisk_scheduler_jvm_mono	scheduler0	openwhisk_scheduler	1	8a84defb33b5c46f6fa4c08a14ee849e	observed_direct_marker	openwhisk_scheduler_activation_dispatch_exit	waiting_request_success_response	8a84defb33b5c46f6fa4c08a14ee849e	<collection-root>/experiments/collections/363_native-e3-v2-ascii-identity-seven-size/point/filtered-openwhisk/local-scheduler0.markers.log	302	d1141decf3bfdb3f9fec87eff9e7cf02e547c57705df6f3c98311462e128a971
native-openwhisk-timing-event-v1	C3	measured	measured	101	1	efe3504165d64ceaa3504165d6dceab2	OW310	1	true	primary	1784920724477000000	2418842541677	openwhisk_invoker_jvm_mono	invoker3	openwhisk_invoker	5504	8a84defb33b5c46f6fa4c08a14ee849e	observed_direct_marker	openwhisk_worker_activation_received			<collection-root>/experiments/collections/363_native-e3-v2-ascii-identity-seven-size/point/filtered-openwhisk/worker-worker-invoker3.db-thread.markers.log	1405	2f399d48b621ff0935fe7d8872190e320108d306e2ab7e57cb45910e06bfa5b8
native-openwhisk-timing-event-v1	C3	measured	measured	101	1	efe3504165d64ceaa3504165d6dceab2	OW800	1	true	primary	1784920724480000000	2418845601355	openwhisk_invoker_jvm_mono	invoker3	openwhisk_invoker	5504	8a84defb33b5c46f6fa4c08a14ee849e	observed_direct_marker	openwhisk_result_notify_submit			<collection-root>/experiments/collections/363_native-e3-v2-ascii-identity-seven-size/point/filtered-openwhisk/worker-worker-invoker3.db-thread.markers.log	1412	2f399d48b621ff0935fe7d8872190e320108d306e2ab7e57cb45910e06bfa5b8
native-openwhisk-timing-event-v1	C3	measured	measured	102	1	dafad516c2f8490dbad516c2f8890d0c	OW120	1	true	primary	1784920724520000000	2414759586653	openwhisk_controller_jvm_mono	controller0	openwhisk_controller	1	dfd45e06639b01bf88720caf2fb8ed6d	observed_direct_marker	openwhisk_controller_invoke_enter		dfd45e06639b01bf88720caf2fb8ed6d	<collection-root>/experiments/collections/363_native-e3-v2-ascii-identity-seven-size/point/filtered-openwhisk/local-controller0.markers.log	203	58aaba9de4e4bbae4471dd75176cfd14310f20ccb87dca47f6ac23045511951a
native-openwhisk-timing-event-v1	C3	measured	measured	102	1	dafad516c2f8490dbad516c2f8890d0c	OW150	1	true	primary	1784920724520000000	2414759668593	openwhisk_controller_jvm_mono	controller0	openwhisk_controller	1	dfd45e06639b01bf88720caf2fb8ed6d	observed_direct_marker	openwhisk_activation_id_created		dfd45e06639b01bf88720caf2fb8ed6d	<collection-root>/experiments/collections/363_native-e3-v2-ascii-identity-seven-size/point/filtered-openwhisk/local-controller0.markers.log	204	58aaba9de4e4bbae4471dd75176cfd14310f20ccb87dca47f6ac23045511951a
native-openwhisk-timing-event-v1	C3	measured	measured	102	1	dafad516c2f8490dbad516c2f8890d0c	OW260	1	true	primary	1784920724524000000	2414763570093	openwhisk_scheduler_jvm_mono	scheduler0	openwhisk_scheduler	1	dfd45e06639b01bf88720caf2fb8ed6d	observed_direct_marker	openwhisk_activation_queue_enter	activation_queue_enter	dfd45e06639b01bf88720caf2fb8ed6d	<collection-root>/experiments/collections/363_native-e3-v2-ascii-identity-seven-size/point/filtered-openwhisk/local-scheduler0.markers.log	303	d1141decf3bfdb3f9fec87eff9e7cf02e547c57705df6f3c98311462e128a971
native-openwhisk-timing-event-v1	C3	measured	measured	102	1	dafad516c2f8490dbad516c2f8890d0c	OW300	1	true	primary	1784920724524000000	2414763717813	openwhisk_scheduler_jvm_mono	scheduler0	openwhisk_scheduler	1	dfd45e06639b01bf88720caf2fb8ed6d	observed_direct_marker	openwhisk_scheduler_activation_dispatch_exit	waiting_request_success_response	dfd45e06639b01bf88720caf2fb8ed6d	<collection-root>/experiments/collections/363_native-e3-v2-ascii-identity-seven-size/point/filtered-openwhisk/local-scheduler0.markers.log	304	d1141decf3bfdb3f9fec87eff9e7cf02e547c57705df6f3c98311462e128a971
native-openwhisk-timing-event-v1	C3	measured	measured	102	1	dafad516c2f8490dbad516c2f8890d0c	OW300	2	false	duplicate_dispatch_preserved	1784920724524000000	2414763749319	openwhisk_scheduler_jvm_mono	scheduler0	openwhisk_scheduler	1	dfd45e06639b01bf88720caf2fb8ed6d	observed_direct_marker	openwhisk_scheduler_activation_dispatch_exit	waiting_request_success_response	dfd45e06639b01bf88720caf2fb8ed6d	<collection-root>/experiments/collections/363_native-e3-v2-ascii-identity-seven-size/point/filtered-openwhisk/local-scheduler0.markers.log	305	d1141decf3bfdb3f9fec87eff9e7cf02e547c57705df6f3c98311462e128a971
