profile	workload_id	ordinal	logical_request_id	activation_id	terminal_success	output_verified	store_acknowledged	warm_eligible	warm_reason	selected_warm	same_worker_concurrent_request	same_worker_workload_compute_overlap	sample_exclusion_reason	container_identity	worker	init_time_ms	activation_wait_time_ms	http_request_bytes	http_response_bytes	client_start_unix_ns	client_end_unix_ns	db_finish_unix_ns	blocking_latency_ms	full_flow_latency_ms	workload_duration_ms	function_duration_ms	application_input_bytes	application_output_bytes	application_output_sha256	result_json_bytes	verification_status
native	compression-derived-random256k-level6-v1	38	38	6591a26476924fa891a26476921fa853	true	true	true	true	warm_no_init_interval	true	false	unavailable_cross_process_clock_domain		412815d5a6fc:8	invoker0		18	1024	4703	1784742215599660628	1784742215645938915	1784742215644000000	46.278287	44.339372	6.307706	6.333476	262144	262244	bc620013d295a3b741947823c358090ccb586c99ebd5750d79d760b1f6c299c0	4096	ok
native	compression-derived-random256k-level6-v1	39	39	71cfb3aacec84cf98fb3aacec84cf931	true	true	true	true	warm_no_init_interval	false	true	unavailable_cross_process_clock_domain	excluded_same_worker_concurrent_request	db7517d89754:8	invoker1		8	1024	4701	1784742215600834152	1784742215637765699	1784742215640999936	36.931547	40.165784	5.868412	5.882162	262144	262244	bc620013d295a3b741947823c358090ccb586c99ebd5750d79d760b1f6c299c0	4096	ok
native	compression-derived-random256k-level6-v1	40	40	177b5f0afc87427dbb5f0afc87c27d72	true	true	true	true	warm_no_init_interval	false	true	unavailable_cross_process_clock_domain	excluded_same_worker_concurrent_request	db7517d89754:8	invoker1		18	1024	4702	1784742215621798176	1784742215664419727	1784742215660999936	42.621551	39.20176	5.569363	5.582079	262144	262244	bc620013d295a3b741947823c358090ccb586c99ebd5750d79d760b1f6c299c0	4096	ok
native	compression-derived-random256k-level6-v1	41	41	6ee16728db814b69a16728db813b69a7	true	true	true	true	warm_no_init_interval	false	true	unavailable_cross_process_clock_domain	excluded_same_worker_concurrent_request	db7517d89754:8	invoker1		21	1024	4702	1784742215659754179	1784742215704816004	1784742215703000064	45.061825	43.245885	5.632417	5.649196	262144	262244	bc620013d295a3b741947823c358090ccb586c99ebd5750d79d760b1f6c299c0	4096	ok
native	compression-derived-random256k-level6-v1	42	42	49f32928a5604eaeb32928a560ceae8b	true	true	true	true	warm_no_init_interval	true	false	unavailable_cross_process_clock_domain		412815d5a6fc:8	invoker0		27	1024	4703	1784742215670257511	1784742215736343859	1784742215743000064	66.086348	72.742553	7.149565	7.177343	262144	262244	bc620013d295a3b741947823c358090ccb586c99ebd5750d79d760b1f6c299c0	4096	ok
native	compression-derived-random256k-level6-v1	43	43	ee7f9c2cd7a644bdbf9c2cd7a684bd20	true	true	true	true	warm_no_init_interval	false	true	unavailable_cross_process_clock_domain	excluded_same_worker_concurrent_request	db7517d89754:8	invoker1		37	1024	4702	1784742215684959046	1784742215743964051	1784742215750999808	59.005005	66.040762	5.627019	5.639888	262144	262244	bc620013d295a3b741947823c358090ccb586c99ebd5750d79d760b1f6c299c0	4096	ok
native	compression-derived-random256k-level6-v1	44	44	01a184e6d54c4dcea184e6d54cddceaf	true	true	true	true	warm_no_init_interval	false	true	unavailable_cross_process_clock_domain	excluded_same_worker_concurrent_request	db7517d89754:8	invoker1		34	1024	4702	1784742215719051632	1784742215786136358	1784742215783000064	67.084726	63.948432	7.263754	7.278778	262144	262244	bc620013d295a3b741947823c358090ccb586c99ebd5750d79d760b1f6c299c0	4096	ok
native	compression-derived-random256k-level6-v1	45	45	cc30a9624f504a69b0a9624f50ba69b9	true	true	true	true	warm_no_init_interval	true	false	unavailable_cross_process_clock_domain		412815d5a6fc:8	invoker0		17	1024	4703	1784742215757567573	1784742215806170229	1784742215812999936	48.602656	55.432363	6.756802	6.785137	262144	262244	bc620013d295a3b741947823c358090ccb586c99ebd5750d79d760b1f6c299c0	4096	ok
native	compression-derived-random256k-level6-v1	46	46	669a0523570b4fe09a0523570bffe01e	true	true	true	true	warm_no_init_interval	false	true	unavailable_cross_process_clock_domain	excluded_same_worker_concurrent_request	db7517d89754:8	invoker1		14	1024	4702	1784742215769694950	1784742215812938220	1784742215812999936	43.24327	43.304986	5.809388	5.822538	262144	262244	bc620013d295a3b741947823c358090ccb586c99ebd5750d79d760b1f6c299c0	4096	ok
native	compression-derived-random256k-level6-v1	47	47	1b803c72926a4ee9803c72926a0ee95a	true	true	true	true	warm_no_init_interval	false	true	unavailable_cross_process_clock_domain	excluded_same_worker_concurrent_request	db7517d89754:8	invoker1		21	1024	4702	1784742215818627146	1784742215872940598	1784742215869999872	54.313452	51.372726	5.742107	5.755131	262144	262244	bc620013d295a3b741947823c358090ccb586c99ebd5750d79d760b1f6c299c0	4096	ok
native	compression-derived-random256k-level6-v1	48	48	43bec13f92eb40ecbec13f92eb10ec92	true	true	true	true	warm_no_init_interval	true	false	unavailable_cross_process_clock_domain		412815d5a6fc:8	invoker0		12	1024	4702	1784742215834812338	1784742215884589492	1784742215884000000	49.777154	49.187662	5.702869	5.726323	262144	262244	bc620013d295a3b741947823c358090ccb586c99ebd5750d79d760b1f6c299c0	4096	ok
native	compression-derived-random256k-level6-v1	49	49	88f09aa21ca34e93b09aa21ca3be93d1	true	true	true	true	warm_no_init_interval	false	true	unavailable_cross_process_clock_domain	excluded_same_worker_concurrent_request	db7517d89754:8	invoker1		15	1024	4702	1784742215842462263	1784742215888007215	1784742215907000064	45.544952	64.537801	6.095822	6.112342	262144	262244	bc620013d295a3b741947823c358090ccb586c99ebd5750d79d760b1f6c299c0	4096	ok
native	compression-derived-random256k-level6-v1	50	50	e487fac9dc8f45cd87fac9dc8f35cdd5	true	true	true	true	warm_no_init_interval	false	true	unavailable_cross_process_clock_domain	excluded_same_worker_concurrent_request	db7517d89754:8	invoker1		14	1024	4702	1784742215897937520	1784742215938906235	1784742215936000000	40.968715	38.06248	5.454533	5.472792	262144	262244	bc620013d295a3b741947823c358090ccb586c99ebd5750d79d760b1f6c299c0	4096	ok
native	compression-derived-random256k-level6-v1	51	51	323002d457d54762b002d457d547624b	true	true	true	true	warm_no_init_interval	false	true	unavailable_cross_process_clock_domain	excluded_same_worker_concurrent_request	db7517d89754:8	invoker1		20	1024	4702	1784742215910912372	1784742215973774021	1784742215967000064	62.861649	56.087692	5.497236	5.513601	262144	262244	bc620013d295a3b741947823c358090ccb586c99ebd5750d79d760b1f6c299c0	4096	ok
native	compression-derived-random256k-level6-v1	52	52	943d71f9d7034e52bd71f9d7031e52f4	true	true	true	true	warm_no_init_interval	false	true	unavailable_cross_process_clock_domain	excluded_same_worker_concurrent_request	db7517d89754:8	invoker1		9	1024	4701	1784742215951408912	1784742215999847084	1784742215997999872	48.438172	46.59096	5.595478	5.608095	262144	262244	bc620013d295a3b741947823c358090ccb586c99ebd5750d79d760b1f6c299c0	4096	ok
native	compression-derived-random256k-level6-v1	53	53	acf55e9e55fc4daeb55e9e55fc3dae88	true	true	true	true	warm_no_init_interval	false	true	unavailable_cross_process_clock_domain	excluded_same_worker_concurrent_request	db7517d89754:8	invoker1		13	1024	4702	1784742215982330125	1784742216032085625	1784742216028999936	49.7555	46.669811	5.613834	5.625999	262144	262244	bc620013d295a3b741947823c358090ccb586c99ebd5750d79d760b1f6c299c0	4096	ok
native	compression-derived-random256k-level6-v1	54	54	8a1f104d345e441d9f104d345ee41d64	true	true	true	true	warm_no_init_interval	true	false	unavailable_cross_process_clock_domain		412815d5a6fc:8	invoker0		7	1024	4702	1784742216012219966	1784742216045771635	1784742216048000000	33.551669	35.780034	5.692265	5.718359	262144	262244	bc620013d295a3b741947823c358090ccb586c99ebd5750d79d760b1f6c299c0	4096	ok
native	compression-derived-random256k-level6-v1	55	55	bfb2123a523143b7b2123a5231a3b7e6	true	true	true	true	warm_no_init_interval	true	false	unavailable_cross_process_clock_domain		db7517d89754:8	invoker1		8	1024	4701	1784742216049013789	1784742216086315527	1784742216084999936	37.301738	35.986147	5.634241	5.64726	262144	262244	bc620013d295a3b741947823c358090ccb586c99ebd5750d79d760b1f6c299c0	4096	ok
native	compression-derived-random256k-level6-v1	56	56	d09e59d21ee341ca9e59d21ee3e1ca41	true	true	true	true	warm_no_init_interval	true	false	unavailable_cross_process_clock_domain		412815d5a6fc:8	invoker0		8	1024	4701	1784742216063457703	1784742216108371648	1784742216100000000	44.913945	36.542297	5.714814	5.73643	262144	262244	bc620013d295a3b741947823c358090ccb586c99ebd5750d79d760b1f6c299c0	4096	ok
native	compression-derived-random256k-level6-v1	57	57	f67fd3f0cf324591bfd3f0cf325591ff	true	true	true	true	warm_no_init_interval	false	true	unavailable_cross_process_clock_domain	excluded_same_worker_concurrent_request	db7517d89754:8	invoker1		17	1024	4702	1784742216102877198	1784742216154903762	1784742216152000000	52.026564	49.122802	5.65461	5.667377	262144	262244	bc620013d295a3b741947823c358090ccb586c99ebd5750d79d760b1f6c299c0	4096	ok
native	compression-derived-random256k-level6-v1	58	58	8e725abffe134e99b25abffe131e9919	true	true	true	true	warm_no_init_interval	true	false	unavailable_cross_process_clock_domain		412815d5a6fc:8	invoker0		23	1024	4702	1784742216118421864	1784742216187100546	1784742216190000128	68.678682	71.578264	5.720582	5.746602	262144	262244	bc620013d295a3b741947823c358090ccb586c99ebd5750d79d760b1f6c299c0	4096	ok
native	compression-derived-random256k-level6-v1	59	59	7feb1b8c050349bcab1b8c0503f9bc3c	true	true	true	true	warm_no_init_interval	false	true	unavailable_cross_process_clock_domain	excluded_same_worker_concurrent_request	db7517d89754:8	invoker1		9	1024	4701	1784742216139357759	1784742216185394656	1784742216190000128	46.036897	50.642369	5.634158	5.650719	262144	262244	bc620013d295a3b741947823c358090ccb586c99ebd5750d79d760b1f6c299c0	4096	ok
native	compression-derived-random256k-level6-v1	60	60	a62cb6569f924588acb6569f9285888f	true	true	true	true	warm_no_init_interval	false	true	unavailable_cross_process_clock_domain	excluded_same_worker_concurrent_request	db7517d89754:8	invoker1		28	1024	4702	1784742216165003157	1784742216232660105	1784742216230000128	67.656948	64.996971	5.654899	5.67651	262144	262244	bc620013d295a3b741947823c358090ccb586c99ebd5750d79d760b1f6c299c0	4096	ok
native	compression-derived-random256k-level6-v1	61	61	9d69221f94e649b3a9221f94e619b34c	true	true	true	true	warm_no_init_interval	true	false	unavailable_cross_process_clock_domain		412815d5a6fc:8	invoker0		18	1024	4702	1784742216199091686	1784742216265799899	1784742216244999936	66.708213	45.90825	5.585708	5.6083	262144	262244	bc620013d295a3b741947823c358090ccb586c99ebd5750d79d760b1f6c299c0	4096	ok
native	compression-derived-random256k-level6-v1	62	62	312f524b88454246af524b8845f2469f	true	true	true	true	warm_no_init_interval	false	true	unavailable_cross_process_clock_domain	excluded_same_worker_concurrent_request	db7517d89754:8	invoker1		10	1024	4702	1784742216210907709	1784742216262054817	1784742216249999872	51.147108	39.092163	5.575971	5.591951	262144	262244	bc620013d295a3b741947823c358090ccb586c99ebd5750d79d760b1f6c299c0	4096	ok
native	compression-derived-random256k-level6-v1	63	63	73bc7c7f64be4490bc7c7f64bed49072	true	true	true	true	warm_no_init_interval	false	true	unavailable_cross_process_clock_domain	excluded_same_worker_concurrent_request	db7517d89754:8	invoker1		14	1024	4702	1784742216254813320	1784742216325105210	1784742216308999936	70.29189	54.186616	5.427607	5.440622	262144	262244	bc620013d295a3b741947823c358090ccb586c99ebd5750d79d760b1f6c299c0	4096	ok
