schema_version	experiment_id	profile	artifact_size_bytes	fresh_group	lifecycle	logical_request_id	activation_id	event_code	clock_domain	timestamp_value	timestamp_unit
c2-timing-event-v1	C2	native	1048576	1	warm_followup	s1048576-g001-warm02	328ca23398544fa48ca2339854dfa431	C010	unix_ns	1784739054458082983	ns
c2-timing-event-v1	C2	native	1048576	1	warm_followup	s1048576-g001-warm02	328ca23398544fa48ca2339854dfa431	C800	unix_ns	1784739054533554591	ns
c2-timing-event-v1	C2	native	1048576	1	warm_followup	s1048576-g001-warm02	328ca23398544fa48ca2339854dfa431	C900	unix_ns	1784739054546332088	ns
c2-timing-event-v1	C2	native	1048576	1	warm_followup	s1048576-g001-warm02	328ca23398544fa48ca2339854dfa431	N400	node_monotonic_same_invocation	6401677256616	ns
c2-timing-event-v1	C2	native	1048576	1	warm_followup	s1048576-g001-warm02	328ca23398544fa48ca2339854dfa431	NW400	node_monotonic_same_invocation	6401677268465	ns
c2-timing-event-v1	C2	native	1048576	1	warm_followup	s1048576-g001-warm02	328ca23398544fa48ca2339854dfa431	NW410	node_monotonic_same_invocation	6401727572534	ns
c2-timing-event-v1	C2	native	1048576	1	warm_followup	s1048576-g001-warm02	328ca23398544fa48ca2339854dfa431	N410	node_monotonic_same_invocation	6401727581714	ns
c2-timing-event-v1	C2	native	1048576	1	warm_followup	s1048576-g001-warm03	7d5a12fa931a4d9c9a12fa931a0d9c2b	C010	unix_ns	1784739054546462820	ns
c2-timing-event-v1	C2	native	1048576	1	warm_followup	s1048576-g001-warm03	7d5a12fa931a4d9c9a12fa931a0d9c2b	C800	unix_ns	1784739054615481292	ns
c2-timing-event-v1	C2	native	1048576	1	warm_followup	s1048576-g001-warm03	7d5a12fa931a4d9c9a12fa931a0d9c2b	C900	unix_ns	1784739054630186321	ns
c2-timing-event-v1	C2	native	1048576	1	warm_followup	s1048576-g001-warm03	7d5a12fa931a4d9c9a12fa931a0d9c2b	N400	node_monotonic_same_invocation	6401760197634	ns
c2-timing-event-v1	C2	native	1048576	1	warm_followup	s1048576-g001-warm03	7d5a12fa931a4d9c9a12fa931a0d9c2b	NW400	node_monotonic_same_invocation	6401760200763	ns
c2-timing-event-v1	C2	native	1048576	1	warm_followup	s1048576-g001-warm03	7d5a12fa931a4d9c9a12fa931a0d9c2b	NW410	node_monotonic_same_invocation	6401810402066	ns
c2-timing-event-v1	C2	native	1048576	1	warm_followup	s1048576-g001-warm03	7d5a12fa931a4d9c9a12fa931a0d9c2b	N410	node_monotonic_same_invocation	6401810404757	ns
c2-timing-event-v1	C2	native	1048576	1	warm_followup	s1048576-g001-warm04	4a412cb8986e4732812cb8986e573230	C010	unix_ns	1784739054630354965	ns
c2-timing-event-v1	C2	native	1048576	1	warm_followup	s1048576-g001-warm04	4a412cb8986e4732812cb8986e573230	C800	unix_ns	1784739054705033266	ns
c2-timing-event-v1	C2	native	1048576	1	warm_followup	s1048576-g001-warm04	4a412cb8986e4732812cb8986e573230	C900	unix_ns	1784739054973003789	ns
c2-timing-event-v1	C2	native	1048576	1	warm_followup	s1048576-g001-warm04	4a412cb8986e4732812cb8986e573230	N400	node_monotonic_same_invocation	6401848483753	ns
c2-timing-event-v1	C2	native	1048576	1	warm_followup	s1048576-g001-warm04	4a412cb8986e4732812cb8986e573230	NW400	node_monotonic_same_invocation	6401848486610	ns
c2-timing-event-v1	C2	native	1048576	1	warm_followup	s1048576-g001-warm04	4a412cb8986e4732812cb8986e573230	NW410	node_monotonic_same_invocation	6401898665660	ns
c2-timing-event-v1	C2	native	1048576	1	warm_followup	s1048576-g001-warm04	4a412cb8986e4732812cb8986e573230	N410	node_monotonic_same_invocation	6401898667939	ns
c2-timing-event-v1	C2	native	1048576	1	warm_followup	s1048576-g001-warm05	c5d48ef72bd44709948ef72bd4470984	C010	unix_ns	1784739054973195081	ns
c2-timing-event-v1	C2	native	1048576	1	warm_followup	s1048576-g001-warm05	c5d48ef72bd44709948ef72bd4470984	C800	unix_ns	1784739055052006333	ns
c2-timing-event-v1	C2	native	1048576	1	warm_followup	s1048576-g001-warm05	c5d48ef72bd44709948ef72bd4470984	C900	unix_ns	1784739055061287120	ns
c2-timing-event-v1	C2	native	1048576	1	warm_followup	s1048576-g001-warm05	c5d48ef72bd44709948ef72bd4470984	N400	node_monotonic_same_invocation	6402194872810	ns
c2-timing-event-v1	C2	native	1048576	1	warm_followup	s1048576-g001-warm05	c5d48ef72bd44709948ef72bd4470984	NW400	node_monotonic_same_invocation	6402194876195	ns
c2-timing-event-v1	C2	native	1048576	1	warm_followup	s1048576-g001-warm05	c5d48ef72bd44709948ef72bd4470984	NW410	node_monotonic_same_invocation	6402244129150	ns
c2-timing-event-v1	C2	native	1048576	1	warm_followup	s1048576-g001-warm05	c5d48ef72bd44709948ef72bd4470984	N410	node_monotonic_same_invocation	6402244131951	ns
c2-timing-event-v1	C2	native	4194304	1	fresh_first_use	s4194304-g001-fresh	9a4a39cdbe6b42248a39cdbe6b2224d6	C010	unix_ns	1784739055061406851	ns
c2-timing-event-v1	C2	native	4194304	1	fresh_first_use	s4194304-g001-fresh	9a4a39cdbe6b42248a39cdbe6b2224d6	C800	unix_ns	1784739055634835489	ns
c2-timing-event-v1	C2	native	4194304	1	fresh_first_use	s4194304-g001-fresh	9a4a39cdbe6b42248a39cdbe6b2224d6	C900	unix_ns	1784739055908391851	ns
c2-timing-event-v1	C2	native	4194304	1	fresh_first_use	s4194304-g001-fresh	9a4a39cdbe6b42248a39cdbe6b2224d6	N400	node_monotonic_same_invocation	6402763379707	ns
c2-timing-event-v1	C2	native	4194304	1	fresh_first_use	s4194304-g001-fresh	9a4a39cdbe6b42248a39cdbe6b2224d6	NW400	node_monotonic_same_invocation	6402763420496	ns
c2-timing-event-v1	C2	native	4194304	1	fresh_first_use	s4194304-g001-fresh	9a4a39cdbe6b42248a39cdbe6b2224d6	NW410	node_monotonic_same_invocation	6402814525246	ns
c2-timing-event-v1	C2	native	4194304	1	fresh_first_use	s4194304-g001-fresh	9a4a39cdbe6b42248a39cdbe6b2224d6	N410	node_monotonic_same_invocation	6402814536364	ns
c2-timing-event-v1	C2	native	4194304	1	warm_followup	s4194304-g001-warm01	c066dd7c6e3748b6a6dd7c6e37a8b626	C010	unix_ns	1784739055908574417	ns
c2-timing-event-v1	C2	native	4194304	1	warm_followup	s4194304-g001-warm01	c066dd7c6e3748b6a6dd7c6e37a8b626	C800	unix_ns	1784739055991438883	ns
c2-timing-event-v1	C2	native	4194304	1	warm_followup	s4194304-g001-warm01	c066dd7c6e3748b6a6dd7c6e37a8b626	C900	unix_ns	1784739055998802279	ns
c2-timing-event-v1	C2	native	4194304	1	warm_followup	s4194304-g001-warm01	c066dd7c6e3748b6a6dd7c6e37a8b626	N400	node_monotonic_same_invocation	6403130711032	ns
c2-timing-event-v1	C2	native	4194304	1	warm_followup	s4194304-g001-warm01	c066dd7c6e3748b6a6dd7c6e37a8b626	NW400	node_monotonic_same_invocation	6403130717602	ns
c2-timing-event-v1	C2	native	4194304	1	warm_followup	s4194304-g001-warm01	c066dd7c6e3748b6a6dd7c6e37a8b626	NW410	node_monotonic_same_invocation	6403180929665	ns
c2-timing-event-v1	C2	native	4194304	1	warm_followup	s4194304-g001-warm01	c066dd7c6e3748b6a6dd7c6e37a8b626	N410	node_monotonic_same_invocation	6403180937734	ns
c2-timing-event-v1	C2	native	4194304	1	warm_followup	s4194304-g001-warm02	5c5a886869a049749a886869a0697476	C010	unix_ns	1784739055998924255	ns
c2-timing-event-v1	C2	native	4194304	1	warm_followup	s4194304-g001-warm02	5c5a886869a049749a886869a0697476	C800	unix_ns	1784739056077232043	ns
c2-timing-event-v1	C2	native	4194304	1	warm_followup	s4194304-g001-warm02	5c5a886869a049749a886869a0697476	C900	unix_ns	1784739056085810080	ns
c2-timing-event-v1	C2	native	4194304	1	warm_followup	s4194304-g001-warm02	5c5a886869a049749a886869a0697476	N400	node_monotonic_same_invocation	6403221530515	ns
c2-timing-event-v1	C2	native	4194304	1	warm_followup	s4194304-g001-warm02	5c5a886869a049749a886869a0697476	NW400	node_monotonic_same_invocation	6403221539597	ns
c2-timing-event-v1	C2	native	4194304	1	warm_followup	s4194304-g001-warm02	5c5a886869a049749a886869a0697476	NW410	node_monotonic_same_invocation	6403271800974	ns
c2-timing-event-v1	C2	native	4194304	1	warm_followup	s4194304-g001-warm02	5c5a886869a049749a886869a0697476	N410	node_monotonic_same_invocation	6403271809869	ns
c2-timing-event-v1	C2	native	4194304	1	warm_followup	s4194304-g001-warm03	efc29e2d3dea44f1829e2d3dea44f112	C010	unix_ns	1784739056085969723	ns
c2-timing-event-v1	C2	native	4194304	1	warm_followup	s4194304-g001-warm03	efc29e2d3dea44f1829e2d3dea44f112	C800	unix_ns	1784739056166746970	ns
c2-timing-event-v1	C2	native	4194304	1	warm_followup	s4194304-g001-warm03	efc29e2d3dea44f1829e2d3dea44f112	C900	unix_ns	1784739056186081800	ns
c2-timing-event-v1	C2	native	4194304	1	warm_followup	s4194304-g001-warm03	efc29e2d3dea44f1829e2d3dea44f112	N400	node_monotonic_same_invocation	6403314513599	ns
c2-timing-event-v1	C2	native	4194304	1	warm_followup	s4194304-g001-warm03	efc29e2d3dea44f1829e2d3dea44f112	NW400	node_monotonic_same_invocation	6403314517472	ns
c2-timing-event-v1	C2	native	4194304	1	warm_followup	s4194304-g001-warm03	efc29e2d3dea44f1829e2d3dea44f112	NW410	node_monotonic_same_invocation	6403364715700	ns
c2-timing-event-v1	C2	native	4194304	1	warm_followup	s4194304-g001-warm03	efc29e2d3dea44f1829e2d3dea44f112	N410	node_monotonic_same_invocation	6403364719301	ns
c2-timing-event-v1	C2	native	4194304	1	warm_followup	s4194304-g001-warm04	2116fc2e17fd4b3c96fc2e17fd6b3c4e	C010	unix_ns	1784739056186205910	ns
c2-timing-event-v1	C2	native	4194304	1	warm_followup	s4194304-g001-warm04	2116fc2e17fd4b3c96fc2e17fd6b3c4e	C800	unix_ns	1784739056261718462	ns
c2-timing-event-v1	C2	native	4194304	1	warm_followup	s4194304-g001-warm04	2116fc2e17fd4b3c96fc2e17fd6b3c4e	C900	unix_ns	1784739056269608052	ns
c2-timing-event-v1	C2	native	4194304	1	warm_followup	s4194304-g001-warm04	2116fc2e17fd4b3c96fc2e17fd6b3c4e	N400	node_monotonic_same_invocation	6403403804604	ns
c2-timing-event-v1	C2	native	4194304	1	warm_followup	s4194304-g001-warm04	2116fc2e17fd4b3c96fc2e17fd6b3c4e	NW400	node_monotonic_same_invocation	6403403808055	ns
c2-timing-event-v1	C2	native	4194304	1	warm_followup	s4194304-g001-warm04	2116fc2e17fd4b3c96fc2e17fd6b3c4e	NW410	node_monotonic_same_invocation	6403454005407	ns
c2-timing-event-v1	C2	native	4194304	1	warm_followup	s4194304-g001-warm04	2116fc2e17fd4b3c96fc2e17fd6b3c4e	N410	node_monotonic_same_invocation	6403454008117	ns
c2-timing-event-v1	C2	native	4194304	1	warm_followup	s4194304-g001-warm05	b537fa583e9342b5b7fa583e9302b57a	C010	unix_ns	1784739056269733065	ns
